Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Easy Run; 7.0km; repetition: 2-3,Intervals; 4.0km; then leg workout,Pace Run; 7; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 16.0km; repetition: 2-3
2,Easy Run; 7.0km; repetition: 2-3,Intervals; 4.0km; then leg workout,Pace Run; 7; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 17.5km; repetition: 2-3
3,Easy Run; 7.0km; repetition: 2-3,Intervals; 4.0km; then leg workout,Pace Run; 7; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 14.5km; repetition: 2-3
4,Easy Run; 7.0km; repetition: 2-3,Intervals; 4.0km; then leg workout,Pace Run; 7; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 19.5km; repetition: 2-3
5,Easy Run; 8.0km; repetition: 2-3,Intervals; 4.0km; then leg workout,Pace Run; 8; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 21.0km; repetition: 2-3
6,Easy Run; 8.0km; repetition: 2-3,Intervals; 4.0km; then leg workout,Pace Run; 8; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 16.0km; repetition: 2-3
7,Easy Run; 7.0km; repetition: 2-3,Intervals; 4.0km; then leg workout,Pace Run; 7; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 24.0km; repetition: 2-3
8,Easy Run; 8.0km; repetition: 2-3,Intervals; 4.0km; then leg workout,Pace Run; 8; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 25.5km; repetition: 2-3
9,Easy Run; 8.0km; repetition: 2-3,Intervals; 5.0km; then leg workout,Pace Run; 8; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 19.0km; repetition: 2-3
10,Easy Run; 10.0km; repetition: 2-3,Intervals; 5.0km; then leg workout,Pace Run; 10; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 27.0km; repetition: 2-3
11,Easy Run; 10.0km; repetition: 2-3,Intervals; 5.0km; then leg workout,Pace Run; 10; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 29.0km; repetition: 2-3
12,Easy Run; 10.0km; repetition: 2-3,Intervals; 5.0km; then leg workout,Pace Run; 10; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Half Marathon; 21.1km; repetition: 5
13,Easy Run; 10.0km; repetition: 2-3,Intervals; 5.0km; then leg workout,Pace Run; 10; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 32.0km; repetition: 2-3
14,Easy Run; 7.0km; repetition: 2-3,Intervals; 5.0km; then leg workout,Pace Run; 7; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Half Marathon; 21.1km; repetition: 5
15,Easy Run; 10.0km; repetition: 2-3,Intervals; 6.0km; then leg workout,Pace Run; 10; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 32.0km; repetition: 2-3
16,Easy Run; 7.0km; repetition: 2-3,Intervals; 6.0km; then leg workout,Pace Run; 7; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Half Marathon; 21.1km; repetition: 5
17,Easy Run; 7.0km; repetition: 2-3,Intervals; 5.0km; then leg workout,Pace Run; 7; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 32.0km; repetition: 2-3
18,Easy Run; 7.0km; repetition: 2-3,Intervals; 4.0km; then leg workout,Pace Run; 7; repetition: 4- 5,Strength Training; 45-60 mins,Tempo Run; 10.0km; repetition: 6,Day Off,Long Run; 19.0km; repetition: 2-3
19,Easy Run; 7.0km; repetition: 2-3,Strength Training; 45-60 mins,Day Off,Easy Run; 5.0km; +45 min strength,Easier Run; 7.0km; repetition: 3-4,Day Off,Long Run; 13.0km; repetition: 2-3
20,Easy Run; 7.0km; repetition: 2-3,Strength Training; 45-60 mins,Day Off,Easy Run; 5.0km; repetition: 2-3,Day Off,Easy Run; 3.0km; repetition: 2-3,MARATHON; 42.2km; repetition: 5
