Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Distance Run; 10 km; repetition 3-4,Recovery Run; 8 km; repetition 2-3,Distance Run; 10 km; repetition 3-4,Recovery Run; 8 km; repetition 2-3,Day Off,Long Run; 14 km; repetition 3-4
2,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Distance Run; 11 km; repetition 3-4,Recovery Run; 8 km; repetition 2-3,Distance Run; 11 km; repetition 3-4,Recovery Run; 8 km; repetition 2-3,Day Off,Long Run; 15 km; repetition 3-4
3,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Distance Run; 12 km; repetition 3-4,Recovery Run; 10 km; repetition 2-3,Distance Run; 12 km; repetition 3-4,Recovery Run; 10 km; repetition 2-3,Day Off,Long Run; 16 km; repetition 3-4
4,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Distance Run; 11 km; repetition 3-4,Recovery Run; 10 km; repetition 2-3,Distance Run; 12 km; repetition 3-4,Recovery Run; 10 km; repetition 2-3,Day Off,Long Run; 18 km; repetition 3-4
5,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Distance Run; 12 km; repetition 3-4,Recovery Run; 10 km; repetition 2-3,Distance Run; 12 km; repetition 3-4,Recovery Run; 10 km; repetition 2-3,Day Off,Long Run; 19 km; repetition 3-4
6,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 2 km (4:09/km) 1 km (recovery jog) 1 km (4:09/km),Recovery Run; 10 km; repetition 2-3,Hill Repeats; 10 x 30 sec uphill (repetition 9-10) / Jog back to start point,Recovery Run; 10 km; repetition 2-3,Day Off,Long Run; 17 km; repetition 3-4
7,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 2.5 km (4:09/km) 1 km (recovery jog) 2 km (4:09/km),Recovery Run; 11 km; repetition 2-3,Hill Repeats; 10 x 45 sec uphill (repetition 9-10) / Jog back to start point,Recovery Run; 11 km; repetition 2-3,Day Off,Long Run; 19 km; repetition 3-4
8,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 3 km (4:09/km) 1 km (recovery jog) 3 km (4:09/km),Recovery Run; 12 km; repetition 2-3,Hill Repeats; 8 x 60 sec uphill (repetition 9-10) / Jog back to start point,Recovery Run; 12 km; repetition 2-3,Day Off,Long Run; 21 km; repetition 3-4
9,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 3 km (4:09/km) 1 km (recovery jog) 3 km (4:09/km),Recovery Run; 12 km; repetition 2-3,Hill Repeats; 6 x 90 sec uphill (repetition 9-10) / Jog back to start point,Recovery Run; 12 km; repetition 2-3,Day Off,Long Run; 24 km; repetition 3-4
10,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 4 km (4:09/km) 1 km (recovery jog) 4 km (4:09/km),Recovery Run; 11 km; repetition 2-3,Threshold Intervals; 3 x 1.5 km (3:55/km) / 1 km recovery jog,Recovery Run; 11 km; repetition 2-3,Day Off,Long Run; 19 km; repetition 3-4
